Filename,Norm,All,CRC32Norm,CRC32All,Pack Hdr,MD5
airnav.opk,0040861D,00408B0D,E1D90706,E5E5B8B4,5F41,6c8640eb3b6277f97fc4bdfdadc6ff86
andover.opk,00121102,001216BD,DD50D208,DEE5A895,6C9F,025795e035c0653f9c5fc79a6dffadb6
angler.opk,000A686E,000A6CCB,282EE5F1,92BC7D19,12CB,66273c9ac23784310ad4436dc16168a2
anteta.opk,0022A0C0,0022A4B6,F9E7DEA0,0CA68683,5F3D,18dfdb215a453d775aeeb29385d77e6e
ascribe411.opk,0012B4A1,0012B8B0,954A8A38,62C9FDA6,729D,3ed3a722f200c99cd8ca42c26f542cd7
ascribe511.opk,0012AA65,0012AE84,44B8DD2F,F15837FF,733B,25a13251940706d5efe7fddbf36ce19c
assem.opk,0024CD42,0024CFD6,378F81F0,A3F863C7,4631,25584e9764ae0a861dde2993156d672b
bar31.opk,00167C95,001682B0,3AA24CFA,3951726D,759B,7e090b40934a149e837fbadcab802598
bar32.opk,0016B482,0016BA0D,F2F1F698,D5C7079C,769B,f40b428724ef017ba178d5540a888df6
barcodeprinter.opk,0014F44A,0014F8B3,83BA6C71,9DB80AAD,F617,c77c2e43697e86866ebe517722732414
barcomm30.opk,00355A8A,00355FEE,D53C9F3D,58770787,7495,0376f12476e1e34d9bcf2d122c08f7f5
barcomm42.opk,0067049B,00670A87,7F746DED,D099EF44,86B7,2f0cea2d8ee31751e4c5243d23e44fe8
CHKSUM02.opk,000616E5,00061B30,AACD965D,628B464A,30C4,51b735d5499e85ed54e5a60af6298633
cipher7604.opk,007676F3,00767B6B,6FF65748,6E1F4E6D,77AB,f7c66bbe21bb81756c052f5859f56f3c
cnf41_10.opk,00470E0E,00471326,82C773C4,720BE551,74A3,0983eebe54a0ae30271212c5288faa9c
coastal31.opk,001E53FD,001E56FC,51AB0092,87B055BF,1631,2400bf0477322d4017e5c71f41d51a6c
coastal31d.opk,0005979E,00059C3D,543ACCC6,4C48A3A9,B567,8afa103cd15af38bb034b9afc5e4c5d3
coastal42.opk,0026171B,00261B3E,F9428CF1,380BF6A2,573D,0bf501d7734925b842c70b4e4e3cef1b
comms11.opk,001098C7,00109EA7,D4736372,48C1564B,7D9A,ada435075054895bf29b5e45545fa7dd
comms15.opk,000E617A,000E66CA,C4E5D8EB,B11CD524,819A,043523672a871d543a645414cfce46be
comms22.opk,002D870E,002D8D21,8FFE15E1,5E5DC3EB,8E9D,8cc3028bd32702e296177d790edb9c7a
comms24.opk,002DB63F,002DBC97,2D41F6E3,3A42D92F,909D,84ba59fda220821a8a8f92e08c02d32a
comms25.opk,002DB3E0,002DBA34,E1F19BA7,5C985379,919D,26c405e85ebc5cc3f52ab8f5016d35bb
comms40.opk,003E16DB,003E1CB9,22E59BFA,9D210B51,AC9D,ca969dd599767fde560d50fa3f6178a3
comms41.opk,003E619D,003E67D7,6AC5E8C1,DFB1DC85,AD9D,91dd9f4b249310bf0fb8e3ef64c9de0e
cutdatafile12.opk,0017A6A8,0017AC6D,B6575988,BF2B3C8F,7AD6,1e80adecf721ac3e390c4ed833dca7b3
cutdataprog357.opk,00233360,00233986,F8130035,EE29A2C7,D0A5,e693c2482323729ce41dc00bcaa81b7d
demopack.opk,000FB7F3,000FBBFA,12F2CB6E,2B215CA3,833B,40e3ea5385e9b82e04d47aa6c8814cd3
diallink.opk,0013163D,00131A01,874D287A,E435EDD2,6A9D,b39dc5c692e690f317e08545361f01a2
digitron110.opk,002472C7,00247809,29E278E0,37D2DCEE,629B,5a714cc2a2c952b11793e5ac9fd07d34
digitron114.opk,0024C058,0024C565,8544FA98,A838A41C,669B,2e08c8b1ed17f0874f3d84438fa93887
digitron27.opk,00408F8D,00409514,C46DCFB7,0D512C87,6F9F,ba979a9cbb9ac6aae8190929d67ad973
dynabar43.opk,006931A2,006937F4,1E29CBE3,DBAEDEF0,AFB5,a2bd86d1ef6469390471ec17aea3adbf
dynapen43.opk,0066D7B1,0066DDE6,371936EF,6F2D2423,87BB,7f719e1758a2a518bf62424ba65b2a3a
dynapen44.opk,006A301B,006A361C,89B01965,FECB74CE,B0BB,8f58c25221f32b2eaf0487e8dba06135
dynaplat.opk,00044743,00044AD1,48D43B68,5AC6177F,0C14,b23d607f329154aa5ab413725c255a4a
dynapoll.opk,00028F46,00029329,8FB80528,3D6D1F77,7BFD,c1e1aae0efb24b31979f41116a0d91a4
easybar.opk,0012D312,0012D856,CF1A88C2,DF42FD06,D6C3,7338c44dac52d00c01e3c35907c4f7ce
extprt43.opk,005AC1E8,005AC813,EAAE62DD,443D0905,AFA9,3742e78537361d54a46694473c62da3b
ferret51n.opk,0013ED96,0013F386,72475CD1,0C374DE4,02F2,8147cb27c0d224ac4eae756a31e1c0b8
filemaster.opk,001525A3,00152982,F76CFE8F,1386CC71,72B0,d7dd07ce3f685a57bf2dcd70fcae2d15
filemaster375.opk,0013E56B,0013EB55,8F42F9E9,810554D7,D1A7,d03fb9c56a3a2be25fb8df441c01da75
filemaster376.opk,0013A44C,0013A8D6,C72E3D54,1C8CD832,C04C,7c91eb70f37237030cfcddc0d45ded04
filemaster3762.opk,0013A29A,0013A5DF,7C9BE079,F626ED8A,4626,0423d2ec5113dcdfd89711df41f7329e
filemaster45.opk,0014AE3F,0014B38A,955A986B,B2A2E502,F9FA,301606b263895e84b7f169c6d8d0cf55
filepak20.opk,0013BC7C,0013C0E0,CC6E7132,C24A599B,7B3B,abcd53178841e3286abbc35c63d8b754
finance1a.opk,00138630,00138DFF,CF428393,33CCA342,CB00,fc0afffe1f7e7c2ed21ccacbfd3ca937
finance1b.opk,001396AC,00139EB7,87DA3E5D,1C34E46B,F300,76a6427dffcb2077738efca96c43dc83
finance2.opk,00268C6F,00268FE1,86108C39,E9295AE2,662D,d3b439da7536d8c4c66e85c49d6e8a3e
flashpak12.opk,000CBA33,000CBFE1,E34F0067,9BDEBEB1,7F0A,d44bf723409c7ee25ee1cc9376af3508
flashpak17.opk,000D785A,000D7E1E,B600B40B,28FC3A76,4029,bd9fc9fc77ee9902af7291940dca5939
flashpak19.opk,000D7728,000D7C2C,7094202D,1138998A,8A0A,779d20ae42b5c24c8ee8ae6ac21bb3f4
flghtmstr219a.opk,00B7A668,00B7AB2B,DD1FCF2F,47AD1343,9769,c85158d4efd7f26dba29d5e22020cd93
flghtmstr219b.opk,00D494FC,00D49A2B,E6B12946,A8DBCFD4,1682,5271e0e1b208772ba7ea8a27feb0b445
flghtmstr228a.opk,00B86A06,00B86E8D,BDDBDEB5,1D720F92,9769,3ed3f13fe9cde091614d5ba2d4f04a41
flghtmstr228b.opk,00D54D81,00D55447,24851216,08A685EB,B3BB,a455820eb5b18a0e76e5471e03879586
fnkey31.opk,00056BFA,00056EB1,C9F23CCC,46C198DC,6A02,a53887839a86730ed4ae5caab3e0eeaa
fnkey40.opk,00087867,00087AE3,53C95D39,39CA0011,6A02,63280ef3144afc1beef11cc0fa83b60c
formmaster.opk,0013A947,0013AC78,D4249664,9E457B90,A713,172b20821bb4539395a1d35343dae39b
games.opk,0022A327,0022A74E,4AEC9C9F,1E31B975,573D,d7195e7922c23fbeed39f37a487fd967
geac.opk,002306C4,00230B28,70863E39,2787177F,573D,0b026e14e6ac6653306236610053e236
gpack.opk,0015B9EC,0015BD63,3317F36B,508604B2,CC06,753755fe947adacc364e27db2cd087bc
hangman.opk,0011B62C,0011BA46,E4A3FB93,21396632,EC43,090b05fab6ff2fc058cc87ca4c020360
hbgames.opk,000DA17B,000DA582,D641BFA5,AE53057C,52BB,24e703c1586aa8afeec19ad5e8cf0204
hvdo24.opk,0011FB18,0011FF0F,63B9237A,C1718598,6C2B,eeba91666d18a5f8b18b7cd3f399969c
hvdo252d.opk,001272BB,00127718,4FBD2E3A,F3F5F53B,CD3C,c96bae1a5664ff8da2725dc3fe7b5346
hvdo252i.opk,00126191,001265FB,501BF409,B05824D8,C04F,7f9ab6b2bd9b661ec108411419108745
hvdo25s.opk,00125EA7,00126335,51A8172D,6B146A51,7330,9a62ca7b1334d9d1ecf9f9cbc99d2cef
hvfo13.opk,000E7590,000E7AA4,65CAD591,84D9D158,5BB3,88f80ddc804b577749b1bfbd39a5e332
hvfo14.opk,000E8B38,000E8FF8,0266F6A4,36785487,8897,02f40bb0c6105a173b1442dafb0ca573
hvfo14i.opk,000CD458,000CD851,5605F953,C744EA48,BF21,732eae5146c2b2dc0b62e62e53ee373d
hvfo15d.opk,000DD314,000DD67E,519E9CB9,DED87814,B510,fde03130fb70277b737f672f63db7d5c
hvgo02.opk,002548A0,00254E19,CB407D0E,7120B260,7880,75939ce5f4b2b6f73105ed526ba505eb
hvgoti.opk,0012D77E,0012DB8C,35696E91,87B94723,F272,bf61658a7354668868ab8c94718b4132
hvio23i.opk,0012234A,001226EF,77ADAD8A,ECAC1464,C01F,7ee732d8e2ac1b30d2ed2a2ba1c07e4b
hvio23s.opk,0011FFAE,00120354,9E947D6F,6610186B,B26F,639ffebd2b47ff941cdb3cca13cee77b
hvlo311i.opk,0013084E,00130BDF,7EC23636,7CBA777A,C129,844c42ff94e4e709df37e3b5083937fa
hvlo32s.opk,0013C8E0,0013CE35,696BCB51,CDCD065C,5FAE,307087e44740b82c03f1e2f0d9d4101f
